pipeline,split,K,repeat_id,seed,num_pairs_subset,batch_size,num_workers,amp,gpu_name,avg_n_full,median_n_full,p95_n_full,t_total_mean,t_total_std,throughput_pairs_per_s_mean,throughput_pairs_per_s_std,peak_vram_gb_mean,peak_vram_gb_std,segment_time_mean_json,segment_time_std_json,timestamp,profile_A_pair_slices_ms,profile_B_gather_all_cpu_ms,profile_C_cheap_forward_ms,profile_D_selector_ms,profile_E_build_batch_cpu_K_ms,profile_F_instance_encode_ms,profile_G_assemble_tokens_ms,profile_H_agg_forward_ms
BR-MIL_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.2326650443673134,0.024731158012032885,277.99933872172454,27.83750953168714,0.13108015060424805,0.0,"{""t_next_batch"": 0.00026494711637496947}","{""t_next_batch"": 5.922361984132676e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.23025923393666745,0.024733601040997324,280.9569259351918,28.356157995501366,0.13108015060424805,0.0,"{""t_next_batch"": 0.0002553773671388626}","{""t_next_batch"": 3.9225434010888736e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.22933230292052031,0.02429119679369373,282.0284725300789,28.250358669800715,0.13108015060424805,0.0,"{""t_next_batch"": 0.00025419000536203385}","{""t_next_batch"": 3.7607905527486566e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6823651918629184,0.04960097672501778,94.28239714433109,6.780097183765017,0.12514352798461914,0.0,"{""t_next_batch"": 0.0003857193747535348}","{""t_next_batch"": 4.094069177682513e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6867024297313765,0.04860541505468816,93.65111284540647,6.409880565928209,0.12514352798461914,0.0,"{""t_next_batch"": 0.00039122729562222956}","{""t_next_batch"": 4.423887512077971e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7201054913178087,0.10637696535005883,90.34131389855635,10.207607519376973,0.12514352798461914,0.0,"{""t_next_batch"": 0.00039435047190636394}","{""t_next_batch"": 4.823736234853509e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,8,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6645282218698412,0.053281829245002445,96.89580127212767,7.3680654816004525,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003685701731592417}","{""t_next_batch"": 5.279543359722462e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,8,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6647731289640069,0.049471511020346144,96.79643620004897,7.0585239589322475,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003741155518218875}","{""t_next_batch"": 5.6825736068629305e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,8,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7043244948796928,0.11143053599904891,92.58845372001664,11.11095954036691,0.07371330261230469,0.0,"{""t_next_batch"": 0.00037123809102922677}","{""t_next_batch"": 5.0971894938111e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,16,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6967985305516049,0.09431995258168253,93.12547164660437,9.643641011378321,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003849397785961628}","{""t_next_batch"": 4.90008522352855e-05}",2026-01-29T10:40:40,1.2984901563160947,629.0923087340262,29.249164287466556,10.004358970197954,1.09288451106598,2.4909983492559853,0.14320082781422472,4.071002969673525
BR-MIL_online,test,16,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6798284938931465,0.044699316911129244,94.54363063487737,6.138142223637819,0.07371330261230469,0.0,"{""t_next_batch"": 0.00038716071750968697}","{""t_next_batch"": 4.5446025903809146e-05}",2026-01-29T10:40:40,1.2984901563160947,629.0923087340262,29.249164287466556,10.004358970197954,1.09288451106598,2.4909983492559853,0.14320082781422472,4.071002969673525
BR-MIL_online,test,16,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.673279503295198,0.04766702164170343,95.5253405037046,6.637332238190484,0.07371330261230469,0.0,"{""t_next_batch"": 0.00038518408313393594}","{""t_next_batch"": 4.638956805243403e-05}",2026-01-29T10:40:40,1.2984901563160947,629.0923087340262,29.249164287466556,10.004358970197954,1.09288451106598,2.4909983492559853,0.14320082781422472,4.071002969673525
BR-MIL_online,test,32,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6678768612118438,0.049379414013875425,96.33991058798438,6.975988328646835,0.07371330261230469,0.0,"{""t_next_batch"": 0.00039875599555671214}","{""t_next_batch"": 4.615751226253796e-05}",2026-01-29T10:44:41,1.3197497671677008,613.7321994226012,29.030342566935968,10.855674481071118,0.8990770865542194,2.7173927454795277,0.14709236048575905,4.0518812330750125
BR-MIL_online,test,32,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6703400223795325,0.04692095256701174,95.92812535138724,6.511098342016346,0.07371330261230469,0.0,"{""t_next_batch"": 0.00039618954062461856}","{""t_next_batch"": 4.43973950362909e-05}",2026-01-29T10:44:41,1.3197497671677008,613.7321994226012,29.030342566935968,10.855674481071118,0.8990770865542194,2.7173927454795277,0.14709236048575905,4.0518812330750125
BR-MIL_online,test,32,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6649512761179358,0.04789978536400463,96.73857370395503,6.839809604458379,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003898567659780383}","{""t_next_batch"": 4.303286793662721e-05}",2026-01-29T10:44:41,1.3197497671677008,613.7321994226012,29.030342566935968,10.855674481071118,0.8990770865542194,2.7173927454795277,0.14709236048575905,4.0518812330750125
BR-MIL_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6704053686698899,0.05075041128380918,95.99561929189696,7.043411064082956,0.12514352798461914,0.0,"{""t_next_batch"": 0.00038273172453045845}","{""t_next_batch"": 4.720249289478338e-05}",2026-01-29T10:48:41,1.3116108124247854,611.2260415878458,28.301597222323633,11.759905004873872,1.3822885424209137,3.0029289721925223,0.1508456021029916,4.087341040010668
BR-MIL_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6616943631926552,0.0490347268322339,97.24075800967893,7.035532638601741,0.12514352798461914,0.0,"{""t_next_batch"": 0.0003844603430479765}","{""t_next_batch"": 4.6874081208922764e-05}",2026-01-29T10:48:41,1.3116108124247854,611.2260415878458,28.301597222323633,11.759905004873872,1.3822885424209137,3.0029289721925223,0.1508456021029916,4.087341040010668
BR-MIL_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6658413380524144,0.04683077751524916,96.5874610660476,6.684241899307607,0.12514352798461914,0.0,"{""t_next_batch"": 0.00038893061224371195}","{""t_next_batch"": 4.809463696730507e-05}",2026-01-29T10:48:41,1.3116108124247854,611.2260415878458,28.301597222323633,11.759905004873872,1.3822885424209137,3.0029289721925223,0.1508456021029916,4.087341040010668
BR-MIL_online,test,128,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6841659192182123,0.05123768342277244,94.04501066751942,6.731994284228914,0.2327866554260254,0.0,"{""t_next_batch"": 0.0003943529119715095}","{""t_next_batch"": 4.824740369731055e-05}",2026-01-29T10:52:49,1.3410053668647175,625.2305097541667,29.368110014022225,14.086479521615225,2.2593747281158962,3.4015759023734264,1.052543381229043,4.105312131448752
BR-MIL_online,test,128,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6681474181078374,0.045272884910920866,96.22336265686842,6.457913547073623,0.2327866554260254,0.0,"{""t_next_batch"": 0.00038982206024229527}","{""t_next_batch"": 4.7785149195895375e-05}",2026-01-29T10:52:49,1.3410053668647175,625.2305097541667,29.368110014022225,14.086479521615225,2.2593747281158962,3.4015759023734264,1.052543381229043,4.105312131448752
BR-MIL_online,test,128,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.709639176465571,0.115484619066363,92.03631198917707,11.597157923740662,0.2327866554260254,0.0,"{""t_next_batch"": 0.00039241654332727193}","{""t_next_batch"": 5.056750898064386e-05}",2026-01-29T10:52:49,1.3410053668647175,625.2305097541667,29.368110014022225,14.086479521615225,2.2593747281158962,3.4015759023734264,1.052543381229043,4.105312131448752
BR-MIL_online,test,256,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7103769787261263,0.12624385270877728,92.1267315497475,11.716918728034253,0.43573570251464844,0.0,"{""t_next_batch"": 0.00039202779531478883}","{""t_next_batch"": 5.586614212792921e-05}",2026-01-29T10:56:57,1.3353761052712798,619.773228544121,29.07050482592442,17.446789794808456,3.0641677802325127,4.1647116550140915,3.986742460013678,4.044193132883972
BR-MIL_online,test,256,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6798158416152,0.04771426877021827,94.59537166729686,6.470572564140722,0.43573570251464844,0.0,"{""t_next_batch"": 0.0003931316966190934}","{""t_next_batch"": 4.6550150681993656e-05}",2026-01-29T10:56:57,1.3353761052712798,619.773228544121,29.07050482592442,17.446789794808456,3.0641677802325127,4.1647116550140915,3.986742460013678,4.044193132883972
BR-MIL_online,test,256,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6802028294093907,0.048551142757825134,94.54852999401677,6.46047147851388,0.43573570251464844,0.0,"{""t_next_batch"": 0.0003938709013164043}","{""t_next_batch"": 5.1567134199677524e-05}",2026-01-29T10:56:57,1.3353761052712798,619.773228544121,29.07050482592442,17.446789794808456,3.0641677802325127,4.1647116550140915,3.986742460013678,4.044193132883972
BR-MIL_online,test,512,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7128314526332542,0.050117161102643866,90.21810334037872,6.221314444486468,1.3004908561706543,0.0,"{""t_next_batch"": 0.0004003298608586192}","{""t_next_batch"": 4.9836265169064876e-05}",2026-01-29T11:01:15,1.34508192875526,618.6452916241251,28.805720577171694,23.957092643508478,4.187005614706625,5.689843969109158,9.010747523926613,4.072308289404545
BR-MIL_online,test,512,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7113295683916658,0.04921166473712948,90.39581121184524,6.146329303258776,1.3004908561706543,0.0,"{""t_next_batch"": 0.0004022060427814722}","{""t_next_batch"": 4.977816040053953e-05}",2026-01-29T11:01:15,1.34508192875526,618.6452916241251,28.805720577171694,23.957092643508478,4.187005614706625,5.689843969109158,9.010747523926613,4.072308289404545
BR-MIL_online,test,512,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7323964271973818,0.06516452306868122,87.98730898052071,6.902676285234586,1.3004908561706543,0.0,"{""t_next_batch"": 0.00041254728101193907}","{""t_next_batch"": 4.803442837874756e-05}",2026-01-29T11:01:15,1.34508192875526,618.6452916241251,28.805720577171694,23.957092643508478,4.187005614706625,5.689843969109158,9.010747523926613,4.072308289404545
