pipeline,split,K,repeat_id,seed,num_pairs_subset,batch_size,num_workers,amp,gpu_name,avg_n_full,median_n_full,p95_n_full,t_total_mean,t_total_std,throughput_pairs_per_s_mean,throughput_pairs_per_s_std,peak_vram_gb_mean,peak_vram_gb_std,segment_time_mean_json,segment_time_std_json,timestamp,profile_A_pair_slices_ms,profile_B_gather_all_cpu_ms,profile_C_expensive_scan_all_ms,profile_D_selector_ms,profile_E_gather_K_to_padded_ms,profile_F_assemble_tokens_ms,profile_G_agg_forward_ms
Naive_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.2890253708511591,0.044252509209967844,226.10119669786118,31.0422303111597,0.13865900039672852,0.0,"{""t_next_batch"": 0.00027329809963703153}","{""t_next_batch"": 5.442899260799407e-05}",2026-01-28T08:38:34,0.8663935276369253,200.41826735768055,68.70485707703564,6.871486506942246,0.7298676504029168,0.9303403811322318,3.3296644894613157
Naive_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.2865593757107854,0.040421355654253956,227.41950516150658,29.424414731350918,0.13865900039672852,0.0,"{""t_next_batch"": 0.00027202151715755463}","{""t_next_batch"": 0.00012989849228550222}",2026-01-28T08:38:34,0.8663935276369253,200.41826735768055,68.70485707703564,6.871486506942246,0.7298676504029168,0.9303403811322318,3.3296644894613157
Naive_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.29886389035731553,0.05520403420099248,220.6082878906065,35.70407966133352,0.13865900039672852,0.0,"{""t_next_batch"": 0.00028205286711454393}","{""t_next_batch"": 7.055298648206026e-05}",2026-01-28T08:38:34,0.8663935276369253,200.41826735768055,68.70485707703564,6.871486506942246,0.7298676504029168,0.9303403811322318,3.3296644894613157
Naive_online,test,8,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7660621847352013,0.07038405592784362,84.22357055804859,7.440221273208275,0.1327223777770996,0.0,"{""t_next_batch"": 0.0003908346500247717}","{""t_next_batch"": 5.5932130238425736e-05}",2026-01-29T09:44:44,1.350302342325449,627.197518987426,102.37145478604361,9.81956038158387,1.0913103068661358,0.5566749062078694,5.200827618439992
Naive_online,test,8,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7616549139842391,0.07517455385786859,84.80291009406653,7.91390307132652,0.1327223777770996,0.0,"{""t_next_batch"": 0.00037785660941153765}","{""t_next_batch"": 5.621040978087214e-05}",2026-01-29T09:44:44,1.350302342325449,627.197518987426,102.37145478604361,9.81956038158387,1.0913103068661358,0.5566749062078694,5.200827618439992
Naive_online,test,8,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.760797570720315,0.07111976923854567,84.80843716464038,7.399588331349786,0.1327223777770996,0.0,"{""t_next_batch"": 0.00038651947397738695}","{""t_next_batch"": 5.923626750491522e-05}",2026-01-29T09:44:44,1.350302342325449,627.197518987426,102.37145478604361,9.81956038158387,1.0913103068661358,0.5566749062078694,5.200827618439992
Naive_online,test,16,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.761837549759075,0.070337378406133,84.68688438090682,7.411957506877608,0.1327223777770996,0.0,"{""t_next_batch"": 0.0003968790639191866}","{""t_next_batch"": 4.919672248994231e-05}",2026-01-29T09:49:19,1.3207762424523632,623.7454246910703,102.75251862541255,10.147276712167594,1.4888410870399742,0.6749559219719635,4.256289354008104
Naive_online,test,16,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7512273364374414,0.07005357042463434,85.8999989171843,7.614779680336514,0.1327223777770996,0.0,"{""t_next_batch"": 0.00038786898832768204}","{""t_next_batch"": 4.629568630841433e-05}",2026-01-29T09:49:19,1.3207762424523632,623.7454246910703,102.75251862541255,10.147276712167594,1.4888410870399742,0.6749559219719635,4.256289354008104
Naive_online,test,16,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7790194982057437,0.1339793992185006,83.9495420709927,10.762662633582847,0.1327223777770996,0.0,"{""t_next_batch"": 0.00038848137948662044}","{""t_next_batch"": 4.6623788680389325e-05}",2026-01-29T09:49:19,1.3207762424523632,623.7454246910703,102.75251862541255,10.147276712167594,1.4888410870399742,0.6749559219719635,4.256289354008104
Naive_online,test,32,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.766804802082479,0.07034372788966751,84.15052893602964,7.541035752925282,0.1327223777770996,0.0,"{""t_next_batch"": 0.00038684458006173374}","{""t_next_batch"": 4.652899846469579e-05}",2026-01-29T09:53:54,1.3443790052810476,622.2983429622319,100.83585046619798,11.057293547006944,1.6058092057291005,1.0024563810374174,4.1788671631366014
Naive_online,test,32,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7609069367265329,0.06577728970014872,84.72462737643457,7.150294241990803,0.1327223777770996,0.0,"{""t_next_batch"": 0.00037720154970884325}","{""t_next_batch"": 4.543176051920021e-05}",2026-01-29T09:53:54,1.3443790052810476,622.2983429622319,100.83585046619798,11.057293547006944,1.6058092057291005,1.0024563810374174,4.1788671631366014
Naive_online,test,32,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7630453781457618,0.07417941166213254,84.62302057187463,7.75953163083901,0.1327223777770996,0.0,"{""t_next_batch"": 0.00038581992499530315}","{""t_next_batch"": 4.8118872663684535e-05}",2026-01-29T09:53:54,1.3443790052810476,622.2983429622319,100.83585046619798,11.057293547006944,1.6058092057291005,1.0024563810374174,4.1788671631366014
Naive_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7862297300435602,0.09731441818158054,82.44913464796383,8.64840134713702,0.1327223777770996,0.0,"{""t_next_batch"": 0.00039627665653824807}","{""t_next_batch"": 5.154661290319646e-05}",2026-01-29T09:58:38,1.3256927693469656,642.9683179258265,102.54017590777948,11.872683416327668,3.2664998641444574,1.5938048225103154,4.3959789068645065
Naive_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7795989629020914,0.07248858810855817,82.76480772968303,7.261955372345438,0.1327223777770996,0.0,"{""t_next_batch"": 0.00040230011567473414}","{""t_next_batch"": 4.906931397287859e-05}",2026-01-29T09:58:38,1.3256927693469656,642.9683179258265,102.54017590777948,11.872683416327668,3.2664998641444574,1.5938048225103154,4.3959789068645065
Naive_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.800181376747787,0.0933690150910803,80.9753992944347,8.608195691996524,0.1327223777770996,0.0,"{""t_next_batch"": 0.0004123650770634413}","{""t_next_batch"": 5.169667222406359e-05}",2026-01-29T09:58:38,1.3256927693469656,642.9683179258265,102.54017590777948,11.872683416327668,3.2664998641444574,1.5938048225103154,4.3959789068645065
Naive_online,test,128,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7709869229327887,0.06210493041965867,83.53091028208796,6.492395715897287,0.1514296531677246,0.0,"{""t_next_batch"": 0.0004048482421785593}","{""t_next_batch"": 5.601162680603983e-05}",2026-01-29T10:03:16,1.351527125936829,634.7283836790465,93.94425918580964,13.852219877298921,2.966201843486892,2.7752081656621566,4.298837929187964
Naive_online,test,128,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.774673185441643,0.06166840406312904,83.12218091263333,6.3997249606326845,0.1514296531677246,0.0,"{""t_next_batch"": 0.00040377036202698946}","{""t_next_batch"": 5.179367788342204e-05}",2026-01-29T10:03:16,1.351527125936829,634.7283836790465,93.94425918580964,13.852219877298921,2.966201843486892,2.7752081656621566,4.298837929187964
Naive_online,test,128,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7717524728598073,0.06422923868073319,83.48903699299137,6.7772311176692,0.1514296531677246,0.0,"{""t_next_batch"": 0.00039072480984032155}","{""t_next_batch"": 5.247191730687775e-05}",2026-01-29T10:03:16,1.351527125936829,634.7283836790465,93.94425918580964,13.852219877298921,2.966201843486892,2.7752081656621566,4.298837929187964
Naive_online,test,256,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7892121452605352,0.0665216636241495,81.641954698556,6.537931379888315,0.4094405174255371,0.0,"{""t_next_batch"": 0.00040286114439368247}","{""t_next_batch"": 5.5451588983717654e-05}",2026-01-29T10:07:58,1.3489389222943122,633.2108146511018,95.25405489192862,17.336593405343592,4.843033922629225,4.977349517866969,4.263748332030243
Naive_online,test,256,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7874880595738069,0.06574081051460708,81.80736157233,6.452367643489989,0.4094405174255371,0.0,"{""t_next_batch"": 0.0004078912874683738}","{""t_next_batch"": 5.195415569843166e-05}",2026-01-29T10:07:58,1.3489389222943122,633.2108146511018,95.25405489192862,17.336593405343592,4.843033922629225,4.977349517866969,4.263748332030243
Naive_online,test,256,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7705403489759192,0.06580449460461385,83.62658624959741,6.69183686428948,0.4094405174255371,0.0,"{""t_next_batch"": 0.00039334132336080077}","{""t_next_batch"": 4.953266190803404e-05}",2026-01-29T10:07:58,1.3489389222943122,633.2108146511018,95.25405489192862,17.336593405343592,4.843033922629225,4.977349517866969,4.263748332030243
Naive_online,test,512,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.8034990295488388,0.06481509815419123,80.15841851274297,6.312045887698838,1.300462245941162,0.0,"{""t_next_batch"": 0.0004051337204873562}","{""t_next_batch"": 5.462909481123802e-05}",2026-01-29T10:12:50,1.3839785669309397,631.4002300638499,98.30427961165293,23.78756006817437,16.983165641108318,9.885550009655871,4.305981253532486
Naive_online,test,512,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7986782532045618,0.07076820532379012,80.72562311774145,6.737482349060322,1.300462245941162,0.0,"{""t_next_batch"": 0.0004012832976877689}","{""t_next_batch"": 5.190057590503067e-05}",2026-01-29T10:12:50,1.3839785669309397,631.4002300638499,98.30427961165293,23.78756006817437,16.983165641108318,9.885550009655871,4.305981253532486
Naive_online,test,512,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.8124287178274244,0.09715837292766553,79.74098034530697,8.202494661849848,1.300462245941162,0.0,"{""t_next_batch"": 0.0003987069567665458}","{""t_next_batch"": 5.461438303947981e-05}",2026-01-29T10:12:50,1.3839785669309397,631.4002300638499,98.30427961165293,23.78756006817437,16.983165641108318,9.885550009655871,4.305981253532486
